Respondent,Age Group,Annual Income,How often do you travel,Regions,Type of Travel,Experienced any difficulties,Quality,Cost ,Access  ,Language barrier,Filing paperwork ,Plan to pay,Travel for Healthcare
1,25-32,No income/student,About once a month,North America/USA,Business,No,2,4,1,3,5,Travel insurance plan (specifically bought for your trip),Disagree
1,,No income/student,About once a month,South America,Tourist,,,,,,,,
1,,No income/student,About once a month,Asia,Adventure/Physical challenge,,,,,,,,
1,,No income/student,About once a month,Europe,,,,,,,,,
2,25-32,"$151,000 - $200,000",About once a month,North America/USA,Business,No,2,3,1,5,4,Usually no plan (never think of it),Neither agree nor disagree
2,,,,Europe,Tourist,,,,,,,,
3,25-32,"$101,000 - $125,000",Multiple times a year,North America/USA,Tourist,No,2,1,3,4,5,Usually no plan (never think of it),Neither agree nor disagree
3,,,,Europe,,,,,,,,,
4,25-32,No income/student,Multiple times a year,North America/USA,Business,No,3,1,2,4,5,Usually no plan (never think of it),Agree
4,,,,Asia,Tourist,,,,,,,,
4,,,,Europe,,,,,,,,,
5,33-41,"$151,000 - $200,000",Multiple times a year,Europe,Tourist,No,1,2,3,5,4,Travel insurance plan (specifically bought for your trip),Strongly agree
6,25-32,No income/student,Multiple times a year,North America/USA,Business,No,2,3,1,4,5,Out of pocket payment,Strongly agree
6,,,,Asia,Tourist,,,,,,,,
6,,,,Africa,Other,,,,,,,,
6,,,,Europe,,,,,,,,,
6,,,,Middle East,,,,,,,,,
7,25-32,No income/student,Multiple times a year,North America/USA,Business,No,1,2,3,4,5,Travel insurance plan (specifically bought for your trip),Neither agree nor disagree
7,,,,,Tourist,,,,,,,,
7,,,,,Adventure/Physical challenge,,,,,,,,
8,25-32,No income/student,Multiple times a year,North America/USA,Tourist,No,1,2,3,4,5,Usually no plan (never think of it),Disagree
9,33-41,"$76,000 - $100,000",Multiple times a year,North America/USA,Business,No,3,2,1,4,5,Usually no plan (never think of it),Agree
9,,,,,Tourist,,,,,,,,
9,,,,,Medical,,,,,,,,
9,,,,,Study Abroad,,,,,,,,
9,,,,,Adventure/Physical challenge,,,,,,,,
10,25-32,No income/student,Multiple times a year,North America/USA,Business,No,3,5,2,1,4,Usually no plan (never think of it),Agree
10,,,,Asia,Tourist,,,,,,,,
10,,,,Europe,,,,,,,,,
11,33-41,"$151,000 - $200,000",Multiple times a year,North America/USA,Business,No,1,3,2,5,4,Travel insurance plan (specifically bought for your trip),Strongly agree
11,,,,South America,Tourist,,,,,,,,
11,,,,Europe,,,,,,,,,
12,25-32,No income/student,Multiple times a year,North America/USA,Tourist,No,1,2,4,3,5,Travel insurance plan (specifically bought for your trip),Agree
12,,,,Europe,Study Abroad,,,,,,,,
